from_id,anbieter,stunde,median_gehzeit,tage_unter_5min,tage_gesamt,anteil_unter_5min,ms_pop
1014,Bolt,7,2,19,24,79,229
1014,Bolt,8,1,23,24,96,229
1014,Bolt,9,1,21,24,88,229
1014,Dott,6,1,24,24,100,229
1014,Dott,7,1,21,24,88,229
1014,Dott,8,1,19,24,79,229
1014,Dott,9,2,21,22,95,229
1014,Villo (cyclocity/JCDecaux),6,2,24,24,100,229
1014,Villo (cyclocity/JCDecaux),7,2,24,24,100,229
1014,Villo (cyclocity/JCDecaux),8,2,24,24,100,229
1014,Villo (cyclocity/JCDecaux),9,2,24,24,100,229
1015,Bolt,6,1,23,24,96,127
1015,Bolt,7,1,24,24,100,127
1015,Bolt,8,1.5,22,24,92,127
1015,Bolt,9,1,21,23,91,127
1015,Dott,6,1,22,24,92,127
1015,Dott,7,2,23,24,96,127
1015,Dott,8,1,21,24,88,127
1015,Dott,9,1,21,23,91,127
1015,Villo (cyclocity/JCDecaux),6,5,24,24,100,127
1015,Villo (cyclocity/JCDecaux),7,5,24,24,100,127
1015,Villo (cyclocity/JCDecaux),8,5,24,24,100,127
1015,Villo (cyclocity/JCDecaux),9,5,24,24,100,127
1016,Bolt,6,1,19,24,79,139
1016,Bolt,7,1,23,24,96,139
1016,Bolt,8,1,19,23,83,139
1016,Bolt,9,2,21,24,88,139
1016,Dott,6,1,22,24,92,139
1016,Dott,7,1,21,24,88,139
1016,Dott,8,2,22,24,92,139
1016,Dott,9,1.5,22,24,92,139
1016,Villo (cyclocity/JCDecaux),6,8,0,24,0,139
1016,Villo (cyclocity/JCDecaux),7,8,0,24,0,139
1016,Villo (cyclocity/JCDecaux),8,8,0,24,0,139
1016,Villo (cyclocity/JCDecaux),9,8,0,24,0,139
1017,Bolt,6,1,22,23,96,81
1017,Bolt,7,1,21,23,91,81
1017,Bolt,8,2.5,20,24,83,81
1017,Bolt,9,1,21,24,88,81
1017,Dott,6,1,22,24,92,81
1017,Dott,7,1,22,24,92,81
1017,Dott,8,1,22,24,92,81
1017,Dott,9,1.5,20,24,83,81
1018,Bolt,6,2,18,23,78,47
1018,Bolt,7,1,23,23,100,47
1018,Bolt,8,1,22,22,100,47
1018,Bolt,9,1,16,24,67,47
1018,Dott,6,1,22,24,92,47
1018,Dott,7,1,21,24,88,47
1018,Dott,8,1.5,19,24,79,47
1018,Dott,9,1,23,24,96,47
1019,Bolt,6,1.5,20,22,91,40
1019,Bolt,7,2,19,22,86,40
1019,Bolt,8,1,21,24,88,40
1019,Bolt,9,1.5,20,24,83,40
1019,Dott,6,1,23,24,96,40
1019,Dott,7,1,21,23,91,40
1019,Dott,8,1,22,23,96,40
1019,Dott,9,1,19,23,83,40
102,Bolt,6,1,20,24,83,273
102,Bolt,7,1,20,24,83,273
102,Bolt,8,1,21,24,88,273
102,Bolt,9,1,21,24,88,273
102,Dott,6,1.5,18,24,75,273
102,Dott,7,1.5,18,24,75,273
